,Date,Engagement,freqPost
1,1/1/2020,9131261,5772
2,1/2/2020,10242832,7498
3,1/3/2020,9381875,7456
4,1/4/2020,10222111,6889
5,1/5/2020,9528357,6407
6,1/6/2020,9943451,8941
7,1/7/2020,9806844,8916
8,1/8/2020,8644903,8821
9,1/9/2020,11350537,9116
10,1/10/2020,11623518,9323
11,1/11/2020,10107480,7864
12,1/12/2020,7995950,6334
13,1/13/2020,10130524,8630
14,1/14/2020,9793267,8616
15,1/15/2020,9750333,8881
16,1/16/2020,10171785,9103
17,1/17/2020,10132592,9799
18,1/18/2020,10615574,7802
19,1/19/2020,7764828,6756
20,1/20/2020,9836630,8626
21,1/21/2020,10299835,8701
22,1/22/2020,12092953,9326
23,1/23/2020,12317478,9844
24,1/24/2020,9842357,9829
25,1/25/2020,9396199,7946
26,1/26/2020,9448949,7339
27,1/27/2020,9968872,8946
28,1/28/2020,9974632,8657
29,1/29/2020,9893458,9247
30,1/30/2020,11119598,10509
31,1/31/2020,9813241,10086
32,2/1/2020,9301357,8756
33,2/2/2020,9497766,7689
34,2/3/2020,10313011,9003
35,2/4/2020,10646519,9136
36,2/5/2020,10451916,9257
37,2/6/2020,10156908,9741
38,2/7/2020,10987090,10030
39,2/8/2020,11179049,7953
40,2/9/2020,12755726,7116
41,2/10/2020,10699323,8273
42,2/11/2020,10944357,9360
43,2/12/2020,10528932,9911
44,2/13/2020,11248529,11353
45,2/14/2020,12268334,10954
46,2/15/2020,8409358,7928
47,2/16/2020,9652348,7445
48,2/17/2020,10034423,9150
49,2/18/2020,10017408,8881
50,2/19/2020,10720520,9468
51,2/20/2020,12348190,9978
52,2/21/2020,10801111,9453
53,2/22/2020,8841186,7655
54,2/23/2020,9195215,7351
55,2/24/2020,10386665,9812
56,2/25/2020,11282984,9024
57,2/26/2020,12250270,9150
58,2/27/2020,12415488,9922
59,2/28/2020,10861333,10374
60,2/29/2020,8590370,8102
61,3/1/2020,9408237,7073
62,3/2/2020,8813333,9028
63,3/3/2020,9705102,9479
64,3/4/2020,9819164,9455
65,3/5/2020,9957028,10113
66,3/6/2020,11111817,10305
67,3/7/2020,8805032,8422
68,3/8/2020,8622684,6820
69,3/9/2020,10564289,9720
70,3/10/2020,9985687,9691
71,3/11/2020,11972649,9956
72,3/12/2020,10780463,9480
73,3/13/2020,11730040,9864
74,3/14/2020,11117842,7910
75,3/15/2020,10363473,7203
76,3/16/2020,11329370,9105
77,3/17/2020,11581271,9152
78,3/18/2020,11659504,9227
79,3/19/2020,11159883,9023
80,3/20/2020,10329794,9410
81,3/21/2020,11470456,8035
82,3/22/2020,10577678,7785
83,3/23/2020,12219369,8527
84,3/24/2020,12094391,9459
85,3/25/2020,11773124,9631
86,3/26/2020,13041468,9397
87,3/27/2020,11969574,9654
88,3/28/2020,12231495,8313
89,3/29/2020,10317835,7236
90,3/30/2020,11278511,9070
92,4/1/2020,12220997,8945
93,4/2/2020,12305170,9256
94,4/3/2020,12028141,9123
95,4/4/2020,10615758,7433
96,4/5/2020,12216876,6974
97,4/6/2020,11613201,7895
98,4/7/2020,11466133,8228
99,4/8/2020,12379456,8993
100,4/9/2020,13087105,9231
101,4/10/2020,12381973,8772
102,4/11/2020,11323295,7483
103,4/12/2020,11286908,7357
104,4/13/2020,11467284,8915
105,4/14/2020,10900138,8749
106,4/15/2020,12012058,9445
107,4/16/2020,11140432,8766
108,4/17/2020,12308331,8633
109,4/18/2020,11071149,7920
110,4/19/2020,10118213,6990
111,4/20/2020,11080859,8718
112,4/21/2020,11557748,8935
113,4/22/2020,11632220,9445
114,4/23/2020,11977300,8732
115,4/24/2020,11100739,9418
116,4/25/2020,11380495,7884
117,4/26/2020,10472349,7164
118,4/27/2020,12094721,8505
119,4/28/2020,11810300,8979
120,4/29/2020,12473891,9144
121,4/30/2020,11964322,9151
122,5/1/2020,11901280,8266
123,5/2/2020,11424226,7860
124,5/3/2020,12011283,7364
125,5/4/2020,10086511,7569
126,5/5/2020,10750958,8442
127,5/6/2020,10760699,8142
128,5/7/2020,12294435,9139
129,5/8/2020,11341388,8680
130,5/9/2020,9631037,7406
131,5/10/2020,10009055,7041
132,5/11/2020,10286087,8667
133,5/12/2020,11273499,8696
134,5/13/2020,10458561,8695
135,5/14/2020,11233388,9042
136,5/15/2020,11388888,9392
137,5/16/2020,11003265,7801
138,5/17/2020,9970380,8124
139,5/18/2020,11519005,8328
140,5/19/2020,11091241,8736
141,5/20/2020,11550387,8807
142,5/21/2020,12014085,8779
143,5/22/2020,12303977,9141
144,5/23/2020,11202411,7650
145,5/24/2020,11126910,7312
